rank,base_seed,eyes,pearls,total,portal_x_old,portal_y_coord,portal_z_old,stronghold_x_old,stronghold_z_old,verified_sister_seed,low,stronghold_x_new,stronghold_z_new,portal_x_new,portal_y,portal_z_new,eyes_new,pearls_new,total_new,chests_new,new_line,eye_delta,pearl_delta,total_delta
1303,3211877314,7,6,13,168,-5,1286,180,1268,63341419458.0,3211877314,180,1268,168,-5,1286,7,5,12,"163,-12,1240:3;195,-14,1237:1;174,-6,1273:1",4503,0,-1,-1
421,3283317002,8,4,12,-251,14,981,-156,948,33348088074.0,3283317002,-156,948,-251,14,981,8,5,13,"-225,13,977:1;-232,13,977:1;-224,13,971:2;-224,13,964:1",4619,0,1,1
4672,3366423074,5,8,13,-928,28,731,-956,692,3366423074.0,3366423074,-956,692,-928,28,731,4,8,12,"-937,27,709:2;-901,25,685:1;-905,25,719:3;-888,13,703:2",4731,-1,0,-1
2323,3440111253,7,5,12,-842,34,1179,-844,1236,458706644629.0,3440111253,-844,1236,-842,34,1179,7,6,13,"-855,27,1220:2;-835,33,1199:1;-872,43,1237:1;-864,43,1242:2",4823,0,1,1
1246,3508854260,7,6,13,-338,26,-911,-396,-924,248321990132.0,3508854260,-396,-924,-338,26,-911,7,5,12,"-338,25,-890:1;-346,25,-882:3;-360,25,-919:1",4939,0,-1,-1
1266,3737560235,7,6,13,1166,-3,721,1172,708,2576422970539.0,3737560235,1172,708,1166,-3,721,7,5,12,"1157,10,718:1;1165,8,681:1;1160,4,731:1;1137,-2,731:2",5217,0,-1,-1
2307,3802558906,7,5,12,-897,-16,-911,-924,-892,42457264570.0,3802558906,-924,-892,-897,-16,-911,7,6,13,"-892,-17,-920:1;-909,-23,-976:1;-930,-15,-958:2;-934,-23,-939:2",5338,0,1,1
1331,3977681208,7,6,13,-507,-35,732,-508,772,,3977681208,-508,772,-507,-35,732,7,5,12,"-496,-42,779:2;-569,-42,750:2;-581,-42,739:1",5569,0,-1,-1
252,3977839677,9,3,12,-456,-3,1237,-428,1268,,3977839677,-428,1268,-456,-3,1237,9,4,13,"-430,-4,1243:1;-449,-6,1311:2;-492,-10,1278:1",5570,0,1,1
2208,4055974555,7,5,12,-878,-41,182,-828,196,16940876443.0,4055974555,-828,196,-878,-41,182,7,6,13,"-822,-40,211:3;-888,-40,233:1;-913,-46,225:2",5692,0,1,1
309,4136164215,8,6,14,-1441,-1,-274,-1452,-332,68560673655.0,4136164215,-1452,-332,-1441,-1,-274,6,6,12,"-1440,-2,-288:2;-1420,-8,-330:2;-1473,-14,-324:1;-1371,-8,-328:1",5787,-2,0,-2
54,4248636125,9,4,13,-417,-36,-785,-412,-844,21428505309.0,4248636125,-412,-844,-417,-36,-785,8,4,12,"-392,-37,-810:1;-434,-37,-792:1;-391,-39,-775:1;-384,-39,-775:1",5933,-1,0,-1
3809,4270241859,6,6,12,-963,-22,-991,-1004,-1020,,4270241859,-1004,-1020,-963,-22,-991,6,8,14,"-988,-23,-990:3;-1022,-21,-1003:2;-973,-33,-1003:3",5960,0,2,2
4246,4290130906,6,6,12,-1369,-45,171,-1388,180,21470000090.0,4290130906,-1388,180,-1369,-45,171,6,7,13,"-1413,-38,173:1;-1444,-36,174:3;-1385,-40,209:2;-1379,-34,161:1",5989,0,1,1
