rank,base_seed,verified_sister_seed,verified_sister_high32,verified_portal_tp,no_sister_found_high32_0_65535,eyes,pearls,total,pearl_radius,fortress_distance,blaze_spawner_distance,portal_y,origin_distance,portal_tp,portal_x,portal_y_coord,portal_z,stronghold_x,stronghold_z,chests,source_status
174,644845141,,,,yes,7,5,12,53.16,83.617,171.110,19,915.52,/tp @s -879 19 256,-879,19,256,-924,276,"-932,20,252:1;-892,18,250:3;-899,18,245:1",added
175,645499558,4940466854,1,/tp @s 1196 -31 -767,no,9,3,12,86.041,280.118,417.678,-31,1420.811,/tp @s 1196 -31 -767,1196,-31,-767,1236,-764,"1277,-32,-796:1;1245,-36,-828:2",added
176,647796190,82252174814,19,/tp @s -844 -47 1158,no,7,5,12,62.016,318.053,396.109,-47,1432.934,/tp @s -844 -47 1158,-844,-47,1158,-892,1204,"-891,-48,1175:1;-879,-52,1175:3;-906,-48,1159:1",added
177,681211096,,,,yes,8,4,12,52.202,50.513,124.921,37,1135.162,/tp @s -492 37 -1023,-492,37,-1023,-444,-1036,"-505,36,-1060:2;-442,28,-1011:2",added
178,684603375,56519178223,13,/tp @s 1183 31 636,no,6,6,12,44.967,407.984,459.318,31,1343.125,/tp @s 1183 31 636,1183,31,636,1204,676,"1184,36,676:1;1160,24,616:2;1187,24,639:1;1140,18,638:2",added
179,686939516,13571841404,3,/tp @s -1491 9 95,no,6,6,12,90.89,337.597,489.755,9,1494.023,/tp @s -1491 9 95,-1491,9,95,-1452,132,"-1440,8,100:1;-1410,6,109:1;-1405,0,123:2;-1440,8,93:2",added
180,688656282,688656282,0,/tp @s 1375 -8 -528,no,7,5,12,43.704,360.355,452.367,-8,1472.891,/tp @s 1375 -8 -528,1375,-8,-528,1396,-492,"1386,-9,-543:2;1396,-9,-535:1;1406,-15,-558:1;1365,-17,-537:1",added
181,692895647,692895647,0,/tp @s -373 -21 662,no,7,5,12,44.306,416.515,420.321,-21,759.851,/tp @s -373 -21 662,-373,-21,662,-380,644,"-361,-26,650:1;-408,-24,635:2;-381,-40,669:2",added
182,693049760,73707493792,17,/tp @s -977 31 808,no,5,7,12,52.773,147.535,219.937,31,1267.83,/tp @s -977 31 808,-977,31,808,-988,852,"-989,28,845:1;-1012,22,836:1;-983,30,823:3;-997,22,856:2",added
183,694282605,30759053677,7,/tp @s -824 43 702,no,7,5,12,27.677,677.532,686.967,43,1082.488,/tp @s -824 43 702,-824,43,702,-844,724,"-838,42,703:1;-845,42,684:1;-847,30,704:2;-841,24,700:1",added
184,696991515,47941631771,11,/tp @s -17 11 -710,no,7,5,12,28.443,529.501,660.984,11,710.203,/tp @s -17 11 -710,-17,11,-710,68,-732,"0,10,-729:2;-16,10,-724:2;5,10,-692:1",added
185,710959234,211164356738,49,/tp @s 804 -37 697,no,6,6,12,35.454,0.000,108.678,-37,1064.061,/tp @s 804 -37 697,804,-37,697,772,676,"790,-44,708:2;820,-38,682:1;814,-44,692:2;838,-38,687:1",added
186,714410336,22189246816,5,/tp @s 1186 -7 -912,no,7,5,12,68.571,81.985,156.290,-7,1496.108,/tp @s 1186 -7 -912,1186,-7,-912,1252,-940,"1243,-4,-950:2;1245,-6,-939:2;1226,-18,-889:1",added
187,723774978,125277826562,29,/tp @s 317 -37 -1452,no,7,5,12,59.447,458.585,513.442,-37,1486.201,/tp @s 317 -37 -1452,317,-37,-1452,276,-1468,"310,-46,-1472:1;317,-46,-1472:1;264,-44,-1478:1;271,-50,-1432:2",added
188,727241191,17907110375,4,/tp @s -431 -31 750,no,10,2,12,78.575,96.750,191.922,-31,865.021,/tp @s -431 -31 750,-431,-31,750,-476,756,"-508,-38,764:1;-432,-32,738:1",added
189,733221168,,,,yes,8,4,12,77.91,647.882,670.129,30,1488.318,/tp @s -1467 30 251,-1467,30,251,-1452,260,"-1450,29,277:1;-1494,29,267:1;-1397,21,218:2",added
190,736656884,,,,yes,6,6,12,42.438,314.535,414.035,-10,994.706,/tp @s -432 -10 -896,-432,-10,-896,-460,-924,"-452,-11,-907:1;-449,-11,-898:2;-426,-11,-938:1;-434,-11,-881:2",added
191,736998051,736998051,0,/tp @s 705 23 1200,no,7,5,12,62.37,175.340,245.990,23,1391.77,/tp @s 705 23 1200,705,23,1200,724,1236,"712,22,1245:2;722,22,1260:1;730,22,1206:1;754,22,1199:1",added
192,739948625,30804719697,7,/tp @s -321 -8 -1233,no,7,5,12,55.525,115.386,198.228,-8,1274.1,/tp @s -321 -8 -1233,-321,-8,-1233,-348,-1260,"-326,-9,-1277:2;-332,-27,-1284:1;-337,-27,-1279:2",added
193,740515951,116704632943,27,/tp @s -737 13 -774,no,6,6,12,86.29,285.248,327.592,13,1068.759,/tp @s -737 13 -774,-737,13,-774,-732,-828,"-749,10,-826:1;-736,12,-820:2;-730,12,-860:1;-736,12,-788:2",added
194,748500464,26518304240,6,/tp @s 1212 -7 -355,no,6,6,12,66.491,526.681,572.944,-7,1262.921,/tp @s 1212 -7 -355,1212,-7,-355,1236,-396,"1219,-8,-368:1;1230,-8,-419:1;1204,-8,-360:1;1217,0,-390:3",added
195,749289182,,,,yes,6,6,12,69.239,110.310,210.257,24,1102.962,/tp @s 162 24 1091,162,24,1091,196,1140,"172,23,1084:2;204,23,1111:2;167,23,1077:1;230,23,1104:1",added
196,749683181,749683181,0,/tp @s 1268 13 159,no,5,7,12,65.947,523.135,527.155,13,1277.93,/tp @s 1268 13 159,1268,13,159,1316,148,"1306,22,171:1;1284,0,153:2;1311,-6,132:2;1330,-6,147:2",added
197,769164244,43718837204,10,/tp @s -976 30 841,no,7,5,12,77.13,246.079,278.150,30,1288.354,/tp @s -976 30 841,-976,30,841,-956,788,"-906,25,809:2;-975,29,813:2;-981,29,787:1",added
