rank,base_seed,verified_sister_seed,verified_sister_high32,verified_portal_tp,no_sister_found_high32_0_65535,eyes,pearls,total,pearl_radius,fortress_distance,blaze_spawner_distance,portal_y,origin_distance,portal_tp,portal_x,portal_y_coord,portal_z,stronghold_x,stronghold_z,chests,source_status
553,2015678264,23490514744,5,/tp @s 764 -22 -1025,no,6,6,12,48.198,191.891,203.966,-22,1278.406,/tp @s 764 -22 -1025,764,-22,-1025,772,-1068,"774,-27,-1029:1;774,-27,-1022:2;781,-19,-1070:1;758,-33,-999:2",added
554,2028263763,2028263763,0,/tp @s 238 -16 -1458,no,8,4,12,75.723,239.056,298.524,-16,1477.298,/tp @s 238 -16 -1458,238,-16,-1458,292,-1436,"270,-21,-1404:2;304,-33,-1425:2",added
555,2031285332,2031285332,0,/tp @s -908 31 336,no,7,5,12,69.065,475.500,478.501,31,968.174,/tp @s -908 31 336,-908,31,336,-876,356,"-885,26,325:1;-879,28,338:1;-864,26,389:1;-892,12,370:2",added
556,2031331840,,,,yes,5,8,13,53.907,500.323,574.519,17,937.034,/tp @s 713 17 608,713,17,608,756,580,"764,24,592:2;729,24,608:3;723,22,567:3",added
557,2035617015,6330584311,1,/tp @s 1273 -42 207,no,5,7,12,37.027,430.912,453.005,-42,1289.72,/tp @s 1273 -42 207,1273,-42,207,1268,244,"1267,-43,233:2;1268,-43,221:2;1254,-49,238:2;1286,-43,197:1",added
558,2037118815,,,,yes,6,6,12,17.146,0.375,23.125,-13,1253.527,/tp @s 1189 -13 -397,1189,-13,-397,1236,-412,"1183,-26,-395:2;1200,-26,-395:3;1199,-14,-409:1",added
559,2040465744,19220334928,4,/tp @s 811 -27 170,no,5,7,12,54.507,383.840,484.192,-27,828.626,/tp @s 811 -27 170,811,-27,170,788,212,"788,-14,190:1;851,-38,194:2;828,-18,221:1;815,-18,189:3",added
560,2055104430,,,,yes,7,5,12,81.099,391.769,515.594,-10,946.346,/tp @s -913 -10 -249,-913,-10,-249,-940,-284,"-964,-13,-276:2;-954,-13,-268:1;-991,-13,-271:2",added
561,2056679897,,,,yes,7,5,12,45.497,71.253,87.235,-17,1070.477,/tp @s 632 -17 864,632,-17,864,644,804,"646,-12,821:2;646,-18,858:2;654,-18,850:1",added
562,2057674306,2057674306,0,/tp @s 1189 21 -467,no,6,6,12,55.884,308.330,370.267,21,1277.423,/tp @s 1189 21 -467,1189,21,-467,1204,-428,"1161,10,-432:1;1189,14,-449:2;1184,4,-414:1;1222,14,-472:2",added
563,2064143848,19244013032,4,/tp @s -1437 5 107,no,5,7,12,44.294,347.273,401.913,5,1440.978,/tp @s -1437 5 107,-1437,5,107,-1452,148,"-1456,4,139:2;-1462,4,138:1;-1477,4,88:2;-1436,-8,96:2",added
564,2066632840,10656567432,2,/tp @s 661 33 -944,no,7,5,12,101.956,506.814,531.191,33,1152.414,/tp @s 661 33 -944,661,33,-944,708,-892,"691,32,-887:1;710,28,-916:2;682,32,-938:1;700,18,-851:1",added
565,2068705168,70788181904,16,/tp @s -1287 -37 184,no,9,3,12,29.58,149.367,273.879,-37,1300.087,/tp @s -1287 -37 184,-1287,-37,184,-1308,180,"-1293,-38,199:2;-1262,-46,197:1",added
566,2068982659,27838786435,6,/tp @s 298 -42 -856,no,7,5,12,59.245,212.914,335.682,-42,906.388,/tp @s 298 -42 -856,298,-42,-856,260,-860,"301,-37,-872:1;293,-37,-889:2;298,-37,-864:1;300,-37,-915:1",added
567,2069622251,10659556843,2,/tp @s -904 22 -769,no,6,6,12,86.753,408.952,500.118,22,1186.835,/tp @s -904 22 -769,-904,22,-769,-908,-796,"-914,17,-804:2;-888,21,-804:1;-955,17,-832:2;-955,17,-839:1",added
568,2071420875,49316061131,11,/tp @s -928 29 -864,no,7,5,12,59.211,207.270,266.177,29,1267.943,/tp @s -928 29 -864,-928,29,-864,-892,-876,"-912,26,-822:2;-924,32,-923:1;-893,30,-902:2",added
569,2077164427,70796641163,16,/tp @s -1471 27 248,no,6,6,12,75.299,267.673,275.717,27,1491.759,/tp @s -1471 27 248,-1471,27,248,-1516,228,"-1517,34,248:1;-1517,34,241:1;-1536,44,214:3;-1531,44,222:1",added
570,2077202538,143811123306,33,/tp @s 232 30 -1467,no,7,5,12,44.922,196.501,284.094,30,1485.232,/tp @s 232 30 -1467,232,30,-1467,292,-1468,"267,27,-1439:2;237,25,-1438:1;252,29,-1472:1;251,33,-1432:1",added
571,2080884383,,,,yes,7,5,12,20.445,154.348,179.054,-35,968.969,/tp @s 670 -35 700,670,-35,700,660,772,"685,-42,712:1;671,-42,693:1;662,-30,705:3",added
572,2082679624,23557516104,5,/tp @s 1286 -14 321,no,9,4,13,90.028,627.811,773.595,-14,1325.457,/tp @s 1286 -14 321,1286,-14,321,1300,356,"1288,-13,411:2;1280,-19,368:2",added
573,2084847290,19264716474,4,/tp @s -415 25 687,no,8,4,12,55.955,126.652,185.849,25,802.617,/tp @s -415 25 687,-415,25,687,-428,724,"-438,24,738:1;-408,28,673:1;-421,18,676:2",added
574,2087691064,66512200504,15,/tp @s -962 -14 206,no,8,5,13,36.249,257.448,342.035,-14,983.809,/tp @s -962 -14 206,-962,-14,206,-924,196,"-944,-3,207:1;-940,-15,215:2;-930,-15,223:1;-982,-7,191:1",added
575,2089131847,,,,yes,6,6,12,99.448,344.545,447.773,-17,1134.452,/tp @s -865 -17 -734,-865,-17,-734,-812,-796,"-821,-14,-800:1;-827,-18,-778:2;-786,-24,-794:3",added
576,2090455274,45040128234,10,/tp @s -1329 -45 -450,no,7,5,12,87.875,188.415,323.127,-45,1403.118,/tp @s -1329 -45 -450,-1329,-45,-450,-1340,-508,"-1341,-48,-537:1;-1338,-46,-465:2;-1327,-40,-524:2",added
577,2098893626,,,,yes,6,6,12,44.833,170.257,274.921,-21,969.943,/tp @s -935 -21 -258,-935,-21,-258,-908,-220,"-906,-26,-237:1;-900,-22,-230:2;-937,-28,-242:1;-974,-28,-240:2",added
578,2100819185,62230361329,14,/tp @s 788 -34 1267,no,6,6,12,66.828,182.009,287.855,-34,1492.057,/tp @s 788 -34 1267,788,-34,1267,756,1236,"749,-39,1261:2;724,-43,1250:2;796,-35,1249:2",added
579,2107722394,96597002906,22,/tp @s 1271 37 219,no,5,7,12,99.448,547.039,639.424,37,1289.729,/tp @s 1271 37 219,1271,37,219,1236,196,"1232,30,178:1;1274,24,228:3;1218,32,135:2;1221,42,165:1",added
580,2110660066,6405627362,1,/tp @s 744 6 376,no,7,5,12,70.441,400.476,468.526,6,833.614,/tp @s 744 6 376,744,6,376,788,324,"743,23,321:2;751,23,308:2;780,5,356:1",added
581,2120395756,,,,yes,6,6,12,29.086,163.074,221.665,38,1496.778,/tp @s -1448 38 -379,-1448,38,-379,-1404,-348,"-1437,31,-353:2;-1450,31,-373:3;-1450,31,-380:1",added
582,2123845721,,,,yes,8,4,12,48.104,277.125,336.056,-49,1389.338,/tp @s -231 -49 -1370,-231,-49,-1370,-204,-1404,"-198,-44,-1403:1;-221,-50,-1361:1;-183,-48,-1373:2",added
583,2134074795,40788780459,9,/tp @s -40 -40 1361,no,6,7,13,128.884,412.701,488.121,-40,1361.588,/tp @s -40 -40 1361,-40,-40,1361,36,1332,"-3,-43,1401:1;22,-41,1344:2;-13,-41,1295:2;9,-33,1242:2",added
584,2137366716,53676974268,12,/tp @s -931 3 -343,no,8,4,12,77.318,241.586,312.956,3,992.174,/tp @s -931 3 -343,-931,3,-343,-908,-316,"-935,10,-286:1;-943,2,-333:1;-920,12,-267:2",added
585,2137560369,2137560369,0,/tp @s 650 -38 -706,no,8,4,12,65.886,189.351,264.530,-38,959.654,/tp @s 650 -38 -706,650,-38,-706,628,-748,"651,-39,-738:2;644,-39,-719:1;636,-45,-770:1",added
586,2138807408,10728742000,2,/tp @s -1045 29 -369,no,7,5,12,54.203,37.645,149.443,29,1108.236,/tp @s -1045 29 -369,-1045,29,-369,-1036,-332,"-1013,30,-377:2;-1038,16,-346:1;-1029,20,-318:1;-1030,16,-375:1",added
587,2138975409,,,,yes,8,4,12,18.628,438.606,544.650,-20,1393.51,/tp @s 1363 -20 290,1363,-20,290,1364,276,"1377,-21,283:1;1350,-23,277:2;1370,-29,292:1",added
588,2139315540,15024217428,3,/tp @s -336 -22 -1310,no,6,7,13,59.017,275.496,363.872,-22,1352.404,/tp @s -336 -22 -1310,-336,-22,-1310,-380,-1340,"-361,-15,-1363:2;-363,-15,-1326:3;-349,-23,-1350:2",added
589,2142267676,19322136860,4,/tp @s -1425 14 283,no,7,5,12,67.253,383.839,476.294,14,1452.83,/tp @s -1425 14 283,-1425,14,283,-1436,244,"-1446,13,280:1;-1448,9,220:1;-1448,9,227:1;-1458,3,245:2",added
590,2145686808,83750065432,19,/tp @s 220 -21 766,no,5,7,12,47.937,287.689,390.604,-21,796.967,/tp @s 220 -21 766,220,-21,766,244,740,"224,-22,730:3;234,-22,738:2;239,-22,722:2",added
591,2148887169,45098560129,10,/tp @s -1352 35 73,no,6,6,12,65.184,262.361,330.940,35,1353.969,/tp @s -1352 35 73,-1352,35,73,-1404,68,"-1389,40,74:2;-1416,38,85:1;-1365,34,67:2;-1414,38,71:1",added
592,2150646133,,,,yes,6,6,12,48.6,0.000,62.492,-11,886.522,/tp @s 295 -11 836,295,-11,836,260,820,"273,-12,847:2;276,-14,802:1;296,-14,803:1;248,-8,824:2",added
593,2151871716,152475727076,35,/tp @s -304 20 -1429,no,7,5,12,25.981,359.587,472.853,20,1460.978,/tp @s -304 20 -1429,-304,20,-1429,-332,-1388,"-311,19,-1404:2;-310,21,-1417:2;-292,11,-1418:1",added
594,2156101800,131005120680,30,/tp @s -1422 -23 -383,no,5,7,12,35.185,437.734,566.228,-23,1472.675,/tp @s -1422 -23 -383,-1422,-23,-383,-1452,-428,"-1421,-24,-397:3;-1431,-6,-386:3;-1452,-6,-376:1",added
595,2159892042,,,,yes,7,5,12,51.711,235.166,298.968,16,1037.578,/tp @s -987 16 320,-987,16,320,-940,324,"-962,7,303:2;-947,7,298:1;-939,7,303:2",added
596,2160607560,,,,yes,6,7,13,115.161,352.077,447.552,29,1217.672,/tp @s 800 29 918,800,29,918,772,852,"762,26,826:2;738,26,821:1;801,28,904:2;767,32,884:2",added
597,2164562984,66589072424,15,/tp @s 1199 18 -880,no,8,4,12,87.35,65.888,197.148,18,1487.28,/tp @s 1199 18 -880,1199,18,-880,1236,-956,"1184,15,-966:1;1213,17,-911:2;1221,17,-906:1",added
598,2165869474,204029332386,47,/tp @s 624 -18 1281,no,6,6,12,35.355,144.200,219.233,-18,1424.899,/tp @s 624 -18 1281,624,-18,1281,644,1316,"649,-19,1282:2;659,-13,1281:2;605,-17,1275:2",added
599,2172804545,45122477505,10,/tp @s 1242 -10 -332,no,8,4,12,71.896,293.697,388.183,-10,1285.608,/tp @s 1242 -10 -332,1242,-10,-332,1252,-284,"1248,-27,-390:1;1247,-27,-346:1;1227,-21,-377:1;1258,-27,-400:1",added
600,2177002204,6471969500,1,/tp @s -364 -24 -1357,no,5,7,12,31.922,60.625,105.440,-24,1404.972,/tp @s -364 -24 -1357,-364,-24,-1357,-380,-1388,"-344,-23,-1374:1;-347,-23,-1384:2;-371,-31,-1369:1;-376,-31,-1376:3",added
601,2179606198,109553788598,25,/tp @s 92 11 -897,no,6,6,12,104.183,84.450,168.353,11,901.706,/tp @s 92 11 -897,92,11,-897,148,-908,"163,10,-896:2;176,12,-889:1;194,14,-876:1;162,6,-873:2",added
602,2181807950,,,,yes,8,4,12,37.35,558.412,620.910,21,1365.438,/tp @s -1248 21 554,-1248,21,554,-1244,612,"-1243,22,591:2;-1271,22,557:1;-1259,12,574:1",added
603,2183783811,23658620291,5,/tp @s -1077 -9 329,no,7,5,12,47.645,344.308,411.784,-9,1126.131,/tp @s -1077 -9 329,-1077,-9,329,-1036,308,"-1040,-10,299:1;-1040,-10,316:1;-1079,-16,335:3",added
604,2187462225,10777396817,2,/tp @s -877 27 636,no,7,5,12,53.796,271.742,391.467,27,1083.34,/tp @s -877 27 636,-877,27,636,-908,644,"-912,34,614:3;-882,36,644:1;-926,24,658:1",added
605,2191858377,15076760265,3,/tp @s 763 -30 -702,no,6,6,12,105.347,303.155,448.987,-30,1036.809,/tp @s 763 -30 -702,763,-30,-702,740,-780,"764,-33,-797:1;769,-31,-715:2;796,-33,-802:2;773,-31,-701:1",added
606,2193384646,27963188422,6,/tp @s 648 24 677,no,5,7,12,64.892,145.427,152.700,24,937.141,/tp @s 648 24 677,648,24,677,692,692,"698,25,683:2;665,23,686:2;674,23,664:2;707,23,650:1",added
607,2195589452,173994281292,40,/tp @s -392 27 -1423,no,4,9,13,25.981,185.101,269.023,27,1476.006,/tp @s -392 27 -1423,-392,27,-1423,-348,-1404,"-381,40,-1405:3;-373,32,-1406:2;-409,34,-1409:2;-409,34,-1416:2",added
608,2195743527,27965547303,6,/tp @s -316 20 -774,no,6,6,12,38.393,560.781,752.428,20,836.022,/tp @s -316 20 -774,-316,20,-774,-348,-764,"-348,23,-795:2;-285,15,-774:1;-326,23,-769:1;-285,15,-780:2",added
609,2195927483,32260698555,7,/tp @s 111 17 1384,no,7,5,12,86.058,404.212,450.610,17,1388.444,/tp @s 111 17 1384,111,17,1384,116,1348,"144,22,1323:3;165,16,1317:1;175,10,1349:1",added
610,2198445568,53738053120,12,/tp @s 707 -30 -791,no,6,6,12,54.571,18.416,63.719,-30,1060.91,/tp @s 707 -30 -791,707,-30,-791,724,-828,"706,-33,-827:3;719,-35,-844:1;716,-31,-801:1;687,-35,-796:1",added
611,2199609899,,,,yes,6,6,12,103.45,180.263,292.604,23,1207.141,/tp @s -842 23 -865,-842,23,-865,-796,-860,"-788,22,-864:1;-834,16,-854:1;-740,20,-882:2;-815,20,-921:2",added
612,2202620977,,,,yes,7,5,12,30.887,339.528,430.806,0,944.697,/tp @s 182 0 -927,182,0,-927,148,-924,"174,13,-912:1;166,13,-904:1;166,13,-936:2;171,13,-928:1",added
613,2204461135,10794395727,2,/tp @s 152 4 1187,no,6,6,12,46.508,264.928,288.754,4,1196.693,/tp @s 152 4 1187,152,4,1187,148,1140,"169,9,1144:2;152,3,1157:2;178,3,1174:1;145,-3,1172:1",added
614,2210900874,6505868170,1,/tp @s 1352 9 -479,no,5,7,12,59.573,10.125,61.378,9,1434.345,/tp @s 1352 9 -479,1352,9,-479,1348,-524,"1362,34,-501:2;1354,38,-531:2;1382,32,-504:3",added
615,2212130956,27981934732,6,/tp @s -866 -24 289,no,6,6,12,33.793,163.541,287.209,-24,912.95,/tp @s -866 -24 289,-866,-24,289,-892,308,"-868,-31,322:2;-861,-31,281:3;-867,-33,292:1",added
616,2222461741,19402330925,4,/tp @s -849 -25 187,no,8,4,12,43.977,347.014,413.024,-25,869.35,/tp @s -849 -25 187,-849,-25,187,-844,212,"-811,-18,190:2;-811,-18,166:2",added
617,2223454474,,,,yes,7,5,12,85.387,509.918,514.161,8,832.762,/tp @s -778 8 -297,-778,8,-297,-812,-332,"-794,11,-325:2;-783,-7,-343:2;-859,7,-324:1",added
618,2223734352,,,,yes,5,7,12,28.337,528.390,536.045,7,1494.085,/tp @s 829 7 -1243,829,7,-1243,804,-1244,"817,6,-1229:1;810,6,-1222:1;835,0,-1234:2;829,0,-1229:3",added
619,2224954443,10814889035,2,/tp @s 319 22 -737,no,7,5,12,50.705,124.542,229.110,22,803.075,/tp @s 319 22 -737,319,22,-737,308,-780,"290,35,-754:1;335,29,-739:1;355,23,-731:1;368,23,-724:2",added
620,2233502157,251341605325,58,/tp @s 1326 -29 -322,no,7,5,12,37.603,106.589,196.064,-29,1364.537,/tp @s 1326 -29 -322,1326,-29,-322,1364,-364,"1343,-14,-352:1;1343,-30,-316:1;1302,-36,-329:3",added
621,2241174781,,,,yes,5,7,12,50.695,473.463,573.689,21,860.717,/tp @s 853 21 115,853,21,115,852,132,"867,32,145:2;861,32,127:2;861,32,120:2;893,24,146:1",added
622,2243756024,19423625208,4,/tp @s -1049 -29 143,no,7,5,12,64.203,276.640,308.468,-29,1058.702,/tp @s -1049 -29 143,-1049,-29,143,-1004,148,"-985,-24,144:2;-1002,-26,120:2;-1020,-30,137:1",added
623,2247601885,6542569181,1,/tp @s 1307 -10 -357,no,8,4,12,25.04,283.986,329.463,-10,1354.879,/tp @s 1307 -10 -357,1307,-10,-357,1332,-348,"1332,-11,-356:1;1324,-11,-348:2;1323,-5,-348:1",added
624,2250031029,10839965621,2,/tp @s 854 -5 127,no,7,5,12,104.757,431.753,548.280,-5,863.392,/tp @s 854 -5 127,854,-5,127,900,164,"920,-10,190:1;920,-10,207:2;936,-10,192:2",added
625,2251414147,45201087107,10,/tp @s -474 5 -798,no,8,5,13,81.939,162.965,236.843,5,928.159,/tp @s -474 5 -798,-474,5,-798,-460,-812,"-459,4,-804:2;-415,-18,-850:2;-441,-16,-848:1",added
626,2253997107,53793604659,12,/tp @s -333 12 -934,no,6,6,12,59.875,414.362,468.191,12,991.587,/tp @s -333 12 -934,-333,12,-934,-316,-892,"-362,5,-902:1;-369,5,-902:1;-377,5,-894:2;-329,5,-914:2",added
627,2254630024,32319401096,7,/tp @s -1058 -20 125,no,7,5,12,61.587,367.179,487.275,-20,1065.359,/tp @s -1058 -20 125,-1058,-20,125,-1036,148,"-1046,-27,185:1;-1058,-27,130:1;-1050,-33,168:3",added
628,2256205474,79565616802,18,/tp @s -1445 -43 -193,no,6,6,12,74.76,133.353,231.025,-43,1457.832,/tp @s -1445 -43 -193,-1445,-43,-193,-1484,-188,"-1465,-60,-123:2;-1431,-44,-191:2;-1470,-58,-182:2",added
629,2257456085,79566867413,18,/tp @s 1258 -4 814,no,4,8,12,63.135,288.883,379.757,-4,1498.386,/tp @s 1258 -4 814,1258,-4,814,1284,836,"1260,-9,789:1;1242,-9,775:2;1235,-9,763:2;1213,-9,770:3",added
630,2257462628,,,,yes,7,5,12,32.772,399.089,479.538,-41,1299.04,/tp @s 364 -41 1247,364,-41,1247,340,1220,"351,-56,1244:2;357,-42,1262:1;361,-48,1272:1;344,-48,1272:1",added
631,2259849397,15144751285,3,/tp @s -413 -21 912,no,6,6,12,45.891,346.903,387.945,-21,1001.156,/tp @s -413 -21 912,-413,-21,912,-428,868,"-411,-24,873:2;-444,-40,884:1;-425,-28,904:1;-425,-28,911:2",added
632,2261872611,28031676387,6,/tp @s 224 28 857,no,8,4,12,64.039,263.781,395.115,28,885.791,/tp @s 224 28 857,224,28,857,196,820,"215,29,802:2;225,27,843:1;184,29,807:1",added
633,2262494108,,,,yes,8,4,12,72.677,667.860,796.215,16,911.303,/tp @s 107 16 -905,107,16,-905,132,-860,"135,15,-881:2;148,15,-845:2",added
634,2267388832,32332159904,7,/tp @s 671 -45 -963,no,7,5,12,61.408,310.090,422.819,-45,1173.716,/tp @s 671 -45 -963,671,-45,-963,708,-988,"709,-38,-1006:1;722,-44,-973:2;730,-44,-980:2",added
635,2268189203,36627927571,8,/tp @s 629 8 -402,no,7,5,12,29.017,685.208,777.243,8,746.488,/tp @s 629 8 -402,629,8,-402,644,-428,"624,23,-423:2;617,21,-425:1;635,7,-415:2",added
636,2271153036,23745989516,5,/tp @s -1292 26 672,no,7,5,12,155.913,347.143,466.835,26,1456.313,/tp @s -1292 26 672,-1292,26,672,-1292,708,"-1345,13,785:2;-1364,17,810:2;-1292,1,755:1",added
637,2281477387,,,,yes,4,8,12,35.014,367.174,398.837,18,907.232,/tp @s -837 18 -350,-837,18,-350,-844,-348,"-858,17,-322:2;-857,25,-361:2;-830,31,-368:2;-845,11,-362:2",added
638,2285442926,49530083182,11,/tp @s 631 29 -898,no,8,4,12,40.274,88.829,255.636,29,1097.527,/tp @s 631 29 -898,631,29,-898,628,-924,"668,22,-897:1;663,28,-908:1;654,20,-908:1;670,28,-908:1",added
639,2300500138,792574482602,184,/tp @s -1387 29 -300,no,6,6,12,21.048,404.484,508.233,29,1419.073,/tp @s -1387 29 -300,-1387,29,-300,-1420,-284,"-1408,28,-299:3;-1390,22,-312:2;-1382,22,-301:1",added
640,2304862964,6599830260,1,/tp @s 831 -38 -464,no,7,5,12,85.399,616.492,620.601,-38,951.765,/tp @s 831 -38 -464,831,-38,-464,804,-476,"812,-35,-486:1;819,-35,-486:3;763,-51,-514:1",added
641,2306757460,,,,yes,7,5,12,72.739,334.528,344.810,0,1010.95,/tp @s -894 0 -472,-894,0,-472,-924,-492,"-882,-1,-490:1;-917,-1,-541:2;-881,-13,-466:2",added
642,2307952682,62437494826,14,/tp @s 1220 -21 193,no,5,7,12,69.814,310.268,421.885,-21,1235.172,/tp @s 1220 -21 193,1220,-21,193,1252,228,"1248,-16,191:1;1277,-14,213:2;1260,-16,183:2;1284,-14,220:2",added
643,2310393808,,,,yes,5,8,13,53.833,390.272,440.044,2,895.59,/tp @s 791 2 -420,791,2,-420,740,-428,"747,3,-451:3;756,3,-457:1;790,-5,-432:2;794,-11,-422:2",added
644,2310837619,15195739507,3,/tp @s 703 -6 -701,no,7,5,12,76.824,748.831,752.302,-6,992.779,/tp @s 703 -6 -701,703,-6,-701,708,-748,"728,-13,-742:1;742,-11,-767:2;764,-21,-731:2",added
645,2311079137,,,,yes,6,6,12,58.267,63.326,79.660,-39,1134.484,/tp @s -482 -39 -1027,-482,-39,-1027,-444,-988,"-489,-40,-1017:1;-471,-34,-970:2;-450,-48,-1022:2;-443,-48,-1022:1",added
646,2312616223,15197518111,3,/tp @s -873 -45 -353,no,8,4,12,64.576,94.377,157.548,-45,941.668,/tp @s -873 -45 -353,-873,-45,-353,-828,-380,"-832,-42,-364:1;-848,-46,-352:1;-856,-46,-369:1;-809,-52,-358:1",added
647,2312763154,,,,yes,8,5,13,68.25,912.859,916.341,10,894.591,/tp @s -353 10 -822,-353,10,-822,-300,-860,"-343,9,-849:3;-314,11,-878:1;-299,11,-804:1",added
648,2314374812,,,,yes,7,5,12,60.183,122.340,262.798,27,1050.259,/tp @s -862 27 600,-862,27,600,-908,596,"-891,32,598:1;-874,26,604:1;-913,16,630:3",added
649,2315578370,66740087810,15,/tp @s -255 23 -874,no,8,4,12,99.373,435.862,454.540,23,910.44,/tp @s -255 23 -874,-255,23,-874,-316,-876,"-348,22,-909:1;-269,28,-902:1;-267,32,-867:2",added
650,2316047052,,,,yes,6,6,12,44.023,610.887,753.270,-1,1081.196,/tp @s -1061 -1 208,-1061,-1,208,-1020,180,"-1033,-2,201:1;-1078,-8,168:2;-1049,-2,212:2;-1087,-2,229:1",added
651,2317000698,10906935290,2,/tp @s -317 1 -1441,no,6,6,12,70.562,208.815,286.568,1,1475.456,/tp @s -317 1 -1441,-317,1,-1441,-348,-1388,"-321,-6,-1445:2;-288,-6,-1439:2;-301,-6,-1427:1;-346,-12,-1378:1",added
652,2317511671,,,,yes,7,5,12,40.817,337.729,362.059,-5,1390.201,/tp @s 833 -5 1113,833,-5,1113,836,1156,"833,-2,1149:2;845,-12,1127:1;852,-8,1149:1;801,0,1114:1",added
653,2321488764,23796325244,5,/tp @s -393 9 -1444,no,6,6,12,109.412,340.624,420.648,9,1496.524,/tp @s -393 9 -1444,-393,9,-1444,-348,-1420,"-331,12,-1428:1;-338,0,-1393:1;-320,0,-1363:2;-383,8,-1428:2",added
654,2325246717,,,,yes,8,4,12,85.709,223.193,268.497,-1,921.48,/tp @s -394 -1 -833,-394,-1,-833,-332,-860,"-322,4,-862:2;-310,0,-816:1;-327,4,-879:1",added
655,2327467390,32392238462,7,/tp @s 794 9 744,no,8,4,12,41.976,480.173,484.225,9,1088.105,/tp @s 794 9 744,794,9,744,756,772,"773,14,780:1;800,8,759:1;794,16,765:2",added
656,2329499911,15214401799,3,/tp @s -1426 14 -247,no,6,6,12,50.458,193.180,218.547,14,1447.234,/tp @s -1426 14 -247,-1426,14,-247,-1404,-316,"-1394,13,-286:3;-1399,-5,-254:2;-1411,-7,-255:1",added
657,2330002553,15214904441,3,/tp @s 206 17 -727,no,7,5,12,31.032,645.468,648.800,17,755.622,/tp @s 206 17 -727,206,17,-727,180,-764,"177,16,-738:1;210,4,-735:1;186,10,-737:2;198,4,-722:1",added
658,2335384868,,,,yes,4,8,12,53.6,496.144,583.185,9,1177.473,/tp @s 1169 9 141,1169,9,141,1156,100,"1155,8,138:2;1160,8,146:2;1167,8,153:2;1195,0,187:2",added
659,2342225287,75356669319,17,/tp @s 719 -36 897,no,9,3,12,96.711,134.669,258.458,-36,1149.596,/tp @s 719 -36 897,719,-36,897,692,884,"682,-37,908:1;740,-49,926:1;631,-39,937:1",added
660,2342646746,,,,yes,5,7,12,49.78,107.064,169.131,40,945.14,/tp @s -933 40 151,-933,40,151,-940,164,"-924,39,175:2;-932,39,183:2;-927,39,166:2;-914,39,197:1",added
661,2342669727,6637637023,1,/tp @s -263 -33 -1381,no,6,6,12,57.671,254.579,337.944,-33,1405.82,/tp @s -263 -33 -1381,-263,-33,-1381,-284,-1388,"-276,-34,-1387:2;-274,-50,-1435:1;-246,-50,-1379:2;-284,-50,-1425:1",added
662,2344239350,10934173942,2,/tp @s 781 13 -729,no,6,6,12,41.449,210.750,344.882,13,1068.364,/tp @s 781 13 -729,781,13,-729,788,-716,"787,12,-770:1;786,28,-745:3;810,28,-745:2",added
663,2351324657,6646291953,1,/tp @s 361 27 736,no,7,6,13,59.447,208.155,252.794,27,819.766,/tp @s 361 27 736,361,27,736,324,788,"330,16,741:1;340,26,726:2;318,16,748:2;303,28,723:1",added
664,2359989587,,,,yes,7,5,12,103.204,320.372,327.632,-39,936.667,/tp @s 273 -39 -896,273,-39,-896,340,-908,"360,-18,-918:1;374,-18,-899:2;369,-24,-888:2",added
665,2361215070,,,,yes,6,6,12,77.679,103.556,203.443,37,1469.833,/tp @s -469 37 -1393,-469,37,-1393,-428,-1372,"-454,36,-1410:1;-479,24,-1394:3;-435,28,-1351:1;-397,34,-1364:1",added
666,2363244115,6658211411,1,/tp @s -1309 4 -194,no,6,6,12,57.784,468.673,583.238,4,1323.298,/tp @s -1309 4 -194,-1309,4,-194,-1260,-252,"-1258,1,-221:1;-1269,3,-191:1;-1261,3,-199:2;-1277,3,-187:2",added
667,2365381130,,,,yes,9,4,13,106.348,335.920,455.950,20,1285.976,/tp @s 143 20 -1278,143,20,-1278,148,-1340,"132,17,-1333:1;144,19,-1325:2;117,15,-1381:1",added
668,2368331934,,,,yes,7,5,12,73.014,83.765,193.371,36,1270.628,/tp @s -164 36 1260,-164,36,1260,-204,1284,"-155,29,1262:2;-181,35,1301:1;-135,35,1327:1;-150,23,1230:1",added
669,2376640288,199945135904,46,/tp @s -465 -18 753,no,6,6,12,63.206,292.232,303.656,-18,885.005,/tp @s -465 -18 753,-465,-18,753,-444,708,"-458,-25,738:2;-451,-21,783:3;-450,-25,692:1",added
670,2380762722,71100239458,16,/tp @s 1099 19 55,no,7,5,12,79.981,107.259,232.464,19,1100.375,/tp @s 1099 19 55,1099,19,55,1124,84,"1096,26,53:2;1097,6,89:1;1111,6,133:1;1115,6,94:1",added
671,2381532159,,,,yes,7,5,12,69.469,395.025,526.132,31,1468.077,/tp @s -1465 31 95,-1465,31,95,-1436,84,"-1471,42,65:3;-1481,40,28:1;-1457,40,49:1",added
672,2383628524,10973563116,2,/tp @s 1401 -9 -235,no,7,5,12,30.822,462.446,604.456,-9,1420.572,/tp @s 1401 -9 -235,1401,-9,-235,1380,-252,"1386,-2,-261:1;1407,0,-244:3;1414,-2,-213:1",added
673,2385357932,15270259820,3,/tp @s -925 27 -256,no,5,8,13,51.088,767.018,781.174,27,959.771,/tp @s -925 27 -256,-925,27,-256,-908,-268,"-901,26,-247:2;-917,14,-292:2;-880,24,-232:2;-905,20,-248:2",added
